,team,coach,year,num_games_coached
2,BUF,Sean McDermott,2021,17
3,CAR,Matt Rhule,2021,17
4,CHI,Matt Nagy,2021,17
5,CIN,Zac Taylor,2021,17
6,CLE,Kevin Stefanski,2021,17
7,DAL,Mike McCarthy,2021,17
8,DEN,Vic Fangio,2021,17
9,DET,Dan Campbell,2021,17
10,GNB,Matt LaFleur,2021,17
11,HOU,David Culley,2021,17
12,IND,Frank Reich,2021,17
13,JAX,Urban Meyer,2021,13
14,KAN,Andy Reid,2021,17
15,LAC,Brandon Staley,2021,17
16,LAR,Sean McVay,2021,17
17,LVR,Rich Bisaccia,2021,12
18,MIA,Brian Flores,2021,17
19,MIN,Mike Zimmer,2021,17
20,NOR,Sean Payton,2021,17
21,NWE,Bill Belichick,2021,17
22,NYG,Joe Judge,2021,17
23,NYJ,Robert Saleh,2021,17
24,PHI,Nick Sirianni,2021,17
25,PIT,Mike Tomlin,2021,17
26,SEA,Pete Carroll,2021,17
27,SFO,Kyle Shanahan,2021,17
28,TAM,Bruce Arians,2021,17
29,TEN,Mike Vrabel,2021,17
30,WAS,Ron Rivera,2021,17
0,ATL,Arthur Smith,2022,17
1,BAL,John Harbaugh,2022,17
2,BUF,Sean McDermott,2022,16
3,CAR,Steve Wilks,2022,12
4,CHI,Matt Eberflus,2022,17
5,CIN,Zac Taylor,2022,16
6,CLE,Kevin Stefanski,2022,17
7,DAL,Mike McCarthy,2022,17
8,DEN,Nathaniel Hackett,2022,15
9,DET,Dan Campbell,2022,17
10,GNB,Matt LaFleur,2022,17
11,HOU,Lovie Smith,2022,17
12,IND,Frank Reich,2022,9
13,JAX,Doug Pederson,2022,17
14,KAN,Andy Reid,2022,17
15,LAC,Brandon Staley,2022,17
